000572	*ST海马	0.53	1.91	0.01	1.90	1.91	314769	1486	0.00	1.92	1.91	
000573	粤宏远Ａ	1.42	2.85	0.04	2.85	2.86	39468	369	-0.34	0.63	2.84	
000576	广东甘化	-0.37	7.98	-0.03	7.98	7.99	42977	242	0.13	1.00	7.98	
000581	威孚高科	0.92	16.53	0.15	16.53	16.54	39495	812	0.12	0.47	16.43	
000582	北部湾港	-0.46	8.70	-0.04	8.70	8.73	14243	138	-0.45	0.54	8.84	
000584	哈工智能	-1.65	6.55	-0.11	6.55	6.56	39378	602	0.31	0.66	6.64	
000585	*ST东电	0.00	1.87	0.00	1.87	1.88	10797	141	-0.52	0.18	1.87	
000586	汇源通信	-0.50	11.83	-0.06	11.83	11.84	45209	1279	-0.07	2.34	12.02	
000587	金洲慈航	-0.97	2.05	-0.02	2.04	2.05	142440	3516	0.00	1.17	2.07	
000589	贵州轮胎	0.00	4.42	0.00	4.41	4.42	62204	817	0.00	0.80	4.42	
000590	启迪古汉	1.70	10.76	0.18	10.76	10.77	24960	236	0.37	1.12	10.58	
000591	太阳能	-0.63	3.13	-0.02	3.13	3.14	61785	415	0.00	0.30	3.15	
000592	平潭发展	0.00	2.75	0.00	2.75	2.76	106881	3077	-0.35	0.56	2.75	
000593	大通燃气	1.46	6.26	0.09	6.25	6.26	27550	907	0.16	0.77	6.21	
000595	宝塔实业	0.87	3.46	0.03	3.45	3.46	177223	8808	0.00	2.36	3.51	
000596	古井贡酒	0.33	115.38	0.38	115.38	115.39	15209	177	0.24	0.40	115.28	
000597	东北制药	-0.39	7.70	-0.03	7.70	7.71	21017	191	0.00	0.26	7.73	
000598	兴蓉环境	2.51	4.91	0.12	4.91	4.92	306378	4898	0.00	1.03	4.79	
000599	青岛双星	2.44	4.62	0.11	4.62	4.63	87317	661	0.22	1.14	4.55	
000600	建投能源	-1.48	5.31	-0.08	5.31	5.32	72079	71	0.00	0.66	5.36	
000601	韶能股份	-2.36	5.79	-0.14	5.79	5.83	70256	364	-0.33	0.65	5.92	
000603	盛达矿业	-0.80	13.69	-0.11	13.68	13.69	98962	1548	0.29	1.69	13.72
000605	渤海股份	0.84	7.20	0.06	7.20	7.21	9334	232	-0.27	0.34	7.16	
000606	顺利办	-0.17	5.87	-0.01	5.86	5.87	77044	272	0.51	1.09	5.81	
000607	华媒控股	1.18	5.16	0.06	5.15	5.16	260202	3707	-0.57	2.94	4.98	
000608	阳光股份	0.96	5.25	0.05	5.24	5.25	11482	265	-0.18	0.15	5.23	
000609	中迪投资	1.99	4.62	0.09	4.61	4.62	37378	273	0.22	1.28	4.55	
000610	西安旅游	0.00	10.21	0.00	10.20	10.21	87096	2084	-0.09	3.70	10.17	
000611	*ST天首	2.31	3.54	0.08	3.54	3.55	13105	345	-0.27	0.41	3.45	
000612	焦作万方	-2.87	4.40	-0.13	4.40	4.41	92297	1955	-0.22	0.78	4.48	
000613	大东海A	1.88	4.88	0.09	4.88	4.89	41119	802	0.21	1.55	4.75	
000615	京汉股份	-3.14	5.24	-0.17	5.23	5.24	104382	1580	0.19	1.62	5.36	
000616	海航投资	1.61	2.52	0.04	2.51	2.52	51504	1413	0.40	0.36	2.46	
000617	中油资本	-0.16	12.31	-0.02	12.23	12.31	13632	84	0.74	0.47	12.32	
000619	海螺型材	0.37	5.39	0.02	5.39	5.40	11939	40	0.00	0.33	5.37	
000620	新华联	0.23	4.41	0.01	4.40	4.41	31669	188	0.00	0.17	4.36	
000622	恒立实业	0.65	4.63	0.03	4.63	4.64	50974	861	0.43	1.20	4.61	
000623	吉林敖东	0.13	15.53	0.02	15.53	15.54	43962	609	0.06	0.38	15.51	
000625	长安汽车	-1.60	7.39	-0.12	7.39	7.40	258201	1826	0.00	0.69	7.55	
000626	远大控股	0.41	7.38	0.03	7.38	7.39	11443	171	-0.53	0.25	7.31	
000627	天茂集团	0.86	7.02	0.06	7.01	7.02	43269	1251	0.00	0.10	7.01	
000628	高新发展	0.83	9.75	0.08	9.74	9.75	11756	292	0.31	0.63	9.73	

数据来源:通达信
代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开
数据来源:通达信
